ano,regiao_administrativa,mortalidade_infancia,prop_baixo_peso_nascer,mortalidade_materna,taxa_internacoes_infantis_crise_respiratoria_aguda,prop_acesso_agua_canalizada,prop_acesso_esgotamento_sanitario,prop_acesso_banheiro,prop_populacao_vivendo_favelas_nao_urbanizadas,prop_acesso_energia_eletrica,prop_adensamento_habitacional_excessivo,taxa_homicidios,taxa_roubos_rua,prop_alfabetizacao,qualidade_ensino_fundamental_anos_iniciais,qualidade_ensino_fundamental_anos_finais,prop_abandono_escolar_ensino_medio,prop_acesso_telefone_celular_fixo,prop_acesso_internet,taxa_mortalidade_doencas_cronicas,taxa_incidencia_dengue,taxa_mortalidade_tuberculose_hiv,prop_coleta_seletiva_lixo,degradacao_areas_verdes,prop_mobilidade_urbana,taxa_homicidios_acao_policial,tempo_medio_deslocamento,taxa_participacao_politica,prop_gravidez_adolescencia,trabalho_infantil,indice_acesso_cultura,taxa_violencia_contra_mulher,taxa_homicidios_jovens_negros,prop_vulnerabilidade_familiar,prop_pessoas_ensino_superior,prop_negros_indigenas_ensino_superior,prop_frequencia_ensino_superior,area_planejamento
2018,Iraja,1.99,8.72,27.9,12.5,99.8,97.78,99.6,10.0,97.68,3.88,24.64,13.47,50.12,5.95,4.68,14.18,96.58,54.21,262.14,479.44,18.72,1.78,-0.06,67.02,11.33,31.39,0.19,12.51,4.93,49.82,182.81,11.33,1.42,18.18,12.87,36.56,Madureira
2018,Madureira,3.05,9.79,78.35,11.2,99.07,92.11,99.35,7.87,96.05,6.39,30.47,19.68,43.1,5.84,4.73,18.24,95.85,47.43,242.41,383.71,15.37,0.76,-0.0,65.8,5.12,33.83,0.2,14.76,4.85,20.19,349.46,7.55,1.72,12.35,9.02,25.05,Madureira
2018,Jacarepaguá,2.3,8.82,44.63,8.53,97.92,81.67,96.54,28.11,93.21,6.23,12.93,4.09,47.92,6.04,4.83,13.25,96.55,53.97,210.54,304.3,11.2,1.82,-0.01,45.19,3.33,32.28,0.2,11.44,3.68,9.52,249.51,4.47,1.97,19.76,11.72,29.1,Jacarepagua
2018,Bangu,1.78,9.87,83.0,7.66,99.31,92.28,99.19,19.57,92.77,6.93,26.17,10.16,42.15,5.67,4.51,11.39,95.07,36.65,376.04,753.93,18.76,0.41,-0.02,33.37,11.35,21.39,0.19,14.92,12.74,10.48,261.88,9.26,2.39,8.09,5.35,16.33,Bangu
2018,Campo Grande,2.78,8.41,77.15,6.14,98.53,82.21,99.47,7.9,91.94,7.17,18.55,4.38,49.71,5.95,4.64,12.63,95.59,41.79,249.7,169.91,11.9,2.36,-0.03,31.22,1.57,38.89,0.17,13.32,5.42,15.69,294.32,3.32,2.04,10.46,7.96,17.77,Campo Grande
2018,Santa Cruz,2.8,9.03,110.47,7.5,98.11,76.14,99.25,12.56,88.13,9.7,25.9,3.72,44.11,5.56,4.38,13.93,93.0,30.42,246.67,359.83,19.61,0.16,-0.04,38.69,6.29,24.13,0.19,17.73,28.92,6.42,279.61,7.29,3.13,4.64,3.41,7.98,Santa Cruz
2018,Ilha Do Governador,1.66,8.68,53.39,7.83,99.06,95.11,98.24,17.02,97.81,4.33,23.93,5.31,54.79,5.84,4.7,11.22,96.94,56.14,209.72,98.53,10.32,3.42,-0.12,0.63,3.28,28.18,0.21,12.02,16.42,23.67,185.8,5.16,1.57,27.84,13.03,36.57,Ilha do Governador
2018,Anchieta,2.36,11.34,60.4,6.64,97.63,93.84,99.63,15.84,95.78,7.96,44.32,14.53,46.56,5.73,4.64,18.2,94.87,42.01,230.95,239.69,16.85,0.0,-0.0,39.0,12.48,20.81,0.19,15.25,4.37,47.4,270.9,11.86,2.52,8.0,6.47,19.15,Pavuna
2018,Santa Teresa,2.6,8.96,73.15,6.3,99.56,94.43,95.89,21.43,97.01,5.56,13.26,16.52,57.86,6.1,5.2,20.7,97.61,54.76,230.31,467.97,4.9,8.55,-0.0,31.86,20.0,36.25,0.25,13.87,24.5,69.56,325.19,17.55,2.34,22.9,12.53,24.25,Centro
2018,Barra Da Tijuca,2.15,8.91,15.25,4.29,93.27,75.2,98.37,16.3,95.72,3.83,16.09,7.31,45.7,6.02,5.19,13.26,98.4,73.43,129.78,248.33,6.3,6.18,-0.02,64.09,0.15,47.11,0.2,7.16,2.74,40.45,262.1,1.56,1.09,48.5,19.47,48.1,Barra da Tijuca
